HGNC ID	Status	Approved symbol	Approved name	NCBI gene ID	INSDC (ENA/GenBank/DDBJ) accession	RefSeq accession
HGNC:28639	Approved	DHRS11	dehydrogenase/reductase 11	79154		NM_024308
HGNC:25832	Approved	DHRS12	dehydrogenase/reductase 12	79758	AK023701	NM_024705
HGNC:28326	Approved	DHRS13	dehydrogenase/reductase 13	147015	BC015582	NM_144683
HGNC:18399	Approved	DHRSX	dehydrogenase/reductase X-linked	207063	AJ293620	NM_145177
HGNC:38713	Approved	DHRSX-IT1	DHRSX intronic transcript 1	106478924		
HGNC:23537	Approved	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	55526	BC002477	NM_018706
HGNC:2749	Approved	DHX8	DEAH-box helicase 8	1659	D50487	NM_001302623
HGNC:2750	Approved	DHX9	DExH-box helicase 9	1660	L13848	NM_030588
HGNC:56097	Approved	DHX9-AS1	DHX9 antisense RNA 1	647070		NR_148933
HGNC:2751	Approved	DHX9P1	DEAH-box helicase 9 pseudogene 1	1661		NG_002657
HGNC:2738	Approved	DHX15	DEAH-box helicase 15	1665	AB001636	NM_001358
HGNC:2739	Approved	DHX16	DEAH-box helicase 16	8449	AB001601	NM_003587
HGNC:15815	Approved	DHX29	DExH-box helicase 29	54505	AY036974	NM_019030
HGNC:16716	Approved	DHX30	DExH-box helicase 30	22907	AB020697	NM_138615
HGNC:16717	Approved	DHX32	DEAH-box helicase 32 (putative)	55760		NM_018180
HGNC:16718	Approved	DHX33	DEAH-box helicase 33	56919	AL359945	NM_020162
HGNC:52937	Approved	DHX33-DT	DHX33 divergent transcript	105371506		NR_135644
HGNC:16719	Approved	DHX34	DExH-box helicase 34	9704	D50924	NM_014681
HGNC:15861	Approved	DHX35	DEAH-box helicase 35	60625	AK026412	NM_021931
HGNC:55365	Approved	DHX35-DT	DHX35 divergent transcript	119545624		
HGNC:14410	Approved	DHX36	DEAH-box helicase 36	170506	AF217190	NM_020865
HGNC:17210	Approved	DHX37	DEAH-box helicase 37	57647	AB040950	NM_032656
HGNC:17211	Approved	DHX38	DEAH-box helicase 38	9785	AF038391	NM_014003
HGNC:18018	Approved	DHX40	DEAH-box helicase 40	79665	AF260270	NM_024612
HGNC:20687	Approved	DHX40P1	DEAH-box helicase 40 pseudogene 1	107133522	BC029885	NG_046682
HGNC:20086	Approved	DHX57	DExH-box helicase 57	90957	AF070590	NM_145646
HGNC:29517	Approved	DHX58	DExH-box helicase 58	79132	BC014949	NM_024119
HGNC:21528	Approved	DIABLO	diablo IAP-binding mitochondrial protein	56616	AF262240	NM_019887
HGNC:2875	Entry Withdrawn	DIANPH	diabetic nephropathy			
HGNC:2876	Approved	DIAPH1	diaphanous related formin 1	1729	BC007411	NM_005219
HGNC:40177	Approved	DIAPH1-AS1	DIAPH1 antisense RNA 1	100505658		NR_038333
HGNC:2877	Approved	DIAPH2	diaphanous related formin 2	1730	Y15909	NM_006729
HGNC:2877	Approved	DIAPH2	diaphanous related formin 2	1730	Y15909	NM_007309
HGNC:16972	Approved	DIAPH2-AS1	DIAPH2 antisense RNA 1	10824		NR_125391
HGNC:15480	Approved	DIAPH3	diaphanous related formin 3	81624	AL137718	NM_001042517
HGNC:39915	Approved	DIAPH3-AS1	DIAPH3 antisense RNA 1	100874195		NR_046539
HGNC:39916	Approved	DIAPH3-AS2	DIAPH3 antisense RNA 2	100874196		NR_046540
HGNC:17098	Approved	DICER1	dicer 1, ribonuclease III	23405	AB028449	NM_030621
HGNC:43017	Approved	DICER1-AS1	DICER1 antisense RNA 1	400242	BC040596	NR_015415
HGNC:2680	Approved	DIDO1	death inducer-obliterator 1	11083	AB002331	NM_080796
HGNC:2880	Entry Withdrawn	DIFF6L	DIFF6 like			
HGNC:2881	Entry Withdrawn	DIH1	diaphragmatic hernia 1			
HGNC:30217	Approved	DIMT1	DIM1 rRNA methyltransferase and ribosome maturation factor	27292	AF102147	NM_014473
HGNC:52892	Approved	DIMT1P1	DIM1 dimethyladenosine transferase 1 homolog pseudogene 1	100422385		NG_025608
HGNC:53146	Approved	DINOL	damage induced long noncoding RNA	108783646	JX993265	NR_144384
HGNC:2883	Approved	DIO1	iodothyronine deiodinase 1	1733		NM_000792
HGNC:2884	Approved	DIO2	iodothyronine deiodinase 2	1734	AF007144	NM_000793
HGNC:44153	Approved	DIO2-AS1	DIO2 antisense RNA 1	100628307	BC039670	NR_038355
HGNC:2885	Approved	DIO3	iodothyronine deiodinase 3	1735	S79854	NM_001362
HGNC:20348	Approved	DIO3OS	DIO3 opposite strand upstream RNA	64150	AF305836	NR_002770
HGNC:17217	Approved	DIP2A	disco interacting protein 2 homolog A	23181	AF490768	NM_015151
HGNC:41430	Approved	DIP2A-IT1	DIP2A intronic transcript 1	100862692		NR_046400
HGNC:29284	Approved	DIP2B	disco interacting protein 2 homolog B	57609	AB040896	NM_173602
HGNC:29150	Approved	DIP2C	disco interacting protein 2 homolog C	22982	BC035216	NM_014974
HGNC:30724	Approved	DIP2C-AS1	DIP2C antisense RNA 1	414235	AK096000	XR_007062026
HGNC:32213	Approved	DIPK1A	divergent protein kinase domain 1A	388650	AK027146	NM_001006605
HGNC:28290	Approved	DIPK1B	divergent protein kinase domain 1B	138311		NM_152421
HGNC:31729	Approved	DIPK1C	divergent protein kinase domain 1C	125704	BC019628	NM_001044369
HGNC:28490	Approved	DIPK2A	divergent protein kinase domain 2A	205428	AK095161	NM_173552
HGNC:25866	Approved	DIPK2B	divergent protein kinase domain 2B	79742	AF289581	NM_024689
HGNC:19127	Approved	DIRAS1	DIRAS family GTPase 1	148252	BC030660	NM_145173
HGNC:19323	Approved	DIRAS2	DIRAS family GTPase 2	54769	AB076889	NM_017594
HGNC:687	Approved	DIRAS3	DIRAS family GTPase 3	9077	U96750	NM_004675
HGNC:15760	Approved	DIRC1	disrupted in renal carcinoma 1	116093	AY039011	NR_161166
HGNC:17805	Approved	DIRC3	disrupted in renal carcinoma 3	729582	AK024261	NR_026597
HGNC:50636	Approved	DIRC3-AS1	DIRC3 antisense RNA 1	105373877	CO245227	NR_133642
HGNC:20604	Approved	DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	22894	AB023225	NM_014953
HGNC:28698	Approved	DIS3L	DIS3 like exosome 3'-5' exoribonuclease	115752		NM_133375
HGNC:55369	Approved	DIS3L-AS1	DIS3L antisense RNA 1	105370868		XR_007064685
HGNC:28648	Approved	DIS3L2	DIS3 like 3'-5' exoribonuclease 2	129563	BC026166	NM_152383
HGNC:14021	Approved	DIS3L2P1	DIS3 like 3'-5' exoribonuclease 2 pseudogene 1	282697	AF307337	NG_009945
HGNC:2888	Approved	DISC1	DISC1 scaffold protein	27185	AF222980	NM_018662
HGNC:41325	Approved	DISC1-IT1	DISC1 intronic transcript 1	104472714		NR_126441
HGNC:33625	Approved	DISC1FP1	DISC1 fusion partner 1	101929222	AK130626	NR_104190
HGNC:33625	Approved	DISC1FP1	DISC1 fusion partner 1	101929222	EU302123	NR_104190
HGNC:2889	Approved	DISC2	disrupted in schizophrenia 2	27184	AF222981	NR_002227
HGNC:19711	Approved	DISP1	dispatched RND transporter family member 1	84976	AK056569	NM_032890
HGNC:19712	Approved	DISP2	dispatched RND transporter family member 2	85455	AB051529	NM_033510
HGNC:29251	Approved	DISP3	dispatched RND transporter family member 3	57540	AB037758	NM_020780
HGNC:23695	Approved	DIXDC1	DIX domain containing 1	85458	AB051522	NM_001037954
HGNC:2890	Approved	DKC1	dyskerin pseudouridine synthase 1	1736	AJ224481	NM_001363
HGNC:2891	Approved	DKK1	dickkopf WNT signaling pathway inhibitor 1	22943		NM_012242
HGNC:2892	Approved	DKK2	dickkopf WNT signaling pathway inhibitor 2	27123	AB033208	NM_014421
HGNC:2893	Approved	DKK3	dickkopf WNT signaling pathway inhibitor 3	27122	AF177396	NM_013253
HGNC:2894	Approved	DKK4	dickkopf WNT signaling pathway inhibitor 4	27121	AF177397	NM_014420
HGNC:16528	Approved	DKKL1	dickkopf like acrosomal protein 1	27120	AB047816	NM_014419
HGNC:16593	Approved	DKKL1P1	DKKL1 pseudogene 1	128848		NG_005524
HGNC:2896	Approved	DLAT	dihydrolipoamide S-acetyltransferase	1737	Y00978	NM_001931
HGNC:2897	Approved	DLC1	DLC1 Rho GTPase activating protein	10395	AF035119	NM_182643
HGNC:2897	Approved	DLC1	DLC1 Rho GTPase activating protein	10395	AF035119	NM_006094
HGNC:2898	Approved	DLD	dihydrolipoamide dehydrogenase	1738	AB209703	NM_000108
HGNC:2899	Approved	DLEC1	DLEC1 cilia and flagella associated protein	9940	AB020522	NM_007337
HGNC:44545	Approved	DLEC1P1	DLEC1 pseudogene 1	100421153		NG_025566
HGNC:13747	Approved	DLEU1	deleted in lymphocytic leukemia 1	10301	Y15227	NR_002605
HGNC:50496	Approved	DLEU1-AS1	DLEU1 antisense RNA 1	103689915	BM264234	NR_125753
HGNC:13748	Approved	DLEU2	deleted in lymphocytic leukemia 2	8847	Y15228	NR_002612
HGNC:13225	Approved	DLEU2L	deleted in lymphocytic leukemia 2 like	79469	AF254117	NR_002771
HGNC:17567	Approved	DLEU7	deleted in lymphocytic leukemia 7	220107	AK126830	NM_198989
HGNC:39966	Approved	DLEU7-AS1	DLEU7 antisense RNA 1	100874074		NR_046551
HGNC:2900	Approved	DLG1	discs large MAGUK scaffold protein 1	1739	U13897	NM_004087
HGNC:44154	Approved	DLG1-AS1	DLG1 antisense RNA 1	100507086	BC039329	NR_038289
HGNC:2901	Approved	DLG2	discs large MAGUK scaffold protein 2	1740	U32376	NM_001364
HGNC:37132	Approved	DLG2-AS1	DLG2 antisense RNA 1	100302690	AF525782	
HGNC:40179	Approved	DLG2-AS2	DLG2 antisense RNA 2	101929043		XR_007062804
HGNC:2902	Approved	DLG3	discs large MAGUK scaffold protein 3	1741	U49089	NM_021120
HGNC:40182	Approved	DLG3-AS1	DLG3 antisense RNA 1	100873930		NR_046586
HGNC:2903	Approved	DLG4	discs large MAGUK scaffold protein 4	1742	U83192	NM_001365
HGNC:2904	Approved	DLG5	discs large MAGUK scaffold protein 5	9231	U61843	NM_004747
HGNC:45109	Approved	DLG5-AS1	DLG5 antisense RNA 1	100128292		NR_024585
HGNC:2905	Approved	DLGAP1	DLG associated protein 1	9229	AB000277	NM_001003809
HGNC:31676	Approved	DLGAP1-AS1	DLGAP1 antisense RNA 1	649446		NR_024101
HGNC:28146	Approved	DLGAP1-AS2	DLGAP1 antisense RNA 2	84777	BC005130	NR_119377
HGNC:27317	Approved	DLGAP1-AS3	DLGAP1 antisense RNA 3	201477		NR_038895
HGNC:44333	Approved	DLGAP1-AS4	DLGAP1 antisense RNA 4	101410534	BI755422	NR_102696
HGNC:44333	Approved	DLGAP1-AS4	DLGAP1 antisense RNA 4	101410534	CK005798	NR_102696
HGNC:27586	Approved	DLGAP1-AS5	DLGAP1 antisense RNA 5	284215		NR_036489
HGNC:2906	Approved	DLGAP2	DLG associated protein 2	9228	AB000275	NM_004745
HGNC:50467	Approved	DLGAP2-AS1	DLGAP2 antisense RNA 1	100507435		NR_103863
HGNC:30368	Approved	DLGAP3	DLG associated protein 3	58512	AF131778	NM_021234
HGNC:24476	Approved	DLGAP4	DLG associated protein 4	22839	AF088030	NM_014902
HGNC:51223	Approved	DLGAP4-AS1	DLGAP4 antisense RNA 1	101926987	BC039668	NR_109939
HGNC:16864	Approved	DLGAP5	DLG associated protein 5	9787	D13633	NM_014750
HGNC:23945	Approved	DLGAP5P1	DLGAP5 pseudogene 1	360014		NG_002932
HGNC:55016	Approved	DLGAP5P2	DLGAP5 pseudogene 2	117981791		NG_070707
HGNC:2907	Approved	DLK1	delta like non-canonical Notch ligand 1	8788	U15979	NM_001317172
HGNC:21113	Approved	DLK2	delta like non-canonical Notch ligand 2	65989	AK055380	NM_023932
HGNC:2908	Approved	DLL1	delta like canonical Notch ligand 1	28514	AF003522	NM_005618
HGNC:2909	Approved	DLL3	delta like canonical Notch ligand 3	10683	AF241373	NM_016941
HGNC:2910	Approved	DLL4	delta like canonical Notch ligand 4	54567	AF253468	NM_019074
HGNC:2911	Approved	DLST	dihydrolipoamide S-succinyltransferase	1743		NM_001244883
HGNC:2912	Approved	DLSTP1	dihydrolipoamide S-succinyltransferase pseudogene 1	1744	D29970	NG_002326
HGNC:2914	Approved	DLX1	distal-less homeobox 1	1745	BC013010	NM_178120
HGNC:2915	Approved	DLX2	distal-less homeobox 2	1746	U51003	NM_004405
HGNC:50638	Approved	DLX2-DT	DLX2 divergent transcript	104326193	DB036501	NR_126376
HGNC:50638	Approved	DLX2-DT	DLX2 divergent transcript	104326193	AA625909	NR_126376
HGNC:2916	Approved	DLX3	distal-less homeobox 3	1747		NM_005220
HGNC:2917	Approved	DLX4	distal-less homeobox 4	1748		NM_001934
HGNC:2918	Approved	DLX5	distal-less homeobox 5	1749		NM_005221
HGNC:2919	Approved	DLX6	distal-less homeobox 6	1750		NM_005222
HGNC:37151	Approved	DLX6-AS1	DLX6 antisense RNA 1	285987		NR_015448
HGNC:40183	Approved	DLX6-AS2	DLX6 antisense RNA 2	100873931		
HGNC:53125	Approved	DM1-AS	DM1 locus antisense RNA	109729182		NR_147193
HGNC:30536	Approved	DMAC1	distal membrane arm assembly component 1	90871	BC009510	NM_033428
HGNC:49128	Approved	DMAC1P1	DMAC1 pseudogene 1	100289059		NG_132555
HGNC:25496	Approved	DMAC2	distal membrane arm assembly component 2	55101	AK001103	NM_018035
HGNC:18799	Approved	DMAC2L	distal membrane arm assembly component 2 like	27109	U79253	NM_015684
HGNC:18291	Approved	DMAP1	DNA methyltransferase 1 associated protein 1	55929	AB037846	NM_019100
HGNC:2926	Approved	DMBT1	deleted in malignant brain tumors 1	1755		NM_004406
HGNC:49497	Approved	DMBT1L1	deleted in malignant brain tumors 1 like 1 (pseudogene)	375940		NR_003570
HGNC:19026	Approved	DMBX1	diencephalon/mesencephalon homeobox 1	127343	AB037699	NM_001387775
HGNC:2927	Approved	DMC1	DNA meiotic recombinase 1	11144	D63882	NM_007068
HGNC:2928	Approved	DMD	dystrophin	1756	AF047505	NM_004006
HGNC:42629	Entry Withdrawn	DMD-AS1	DMD antisense RNA 1			
HGNC:40184	Entry Withdrawn	DMD-AS2	DMD antisense RNA 2			
HGNC:40185	Approved	DMD-AS3	DMD antisense RNA 3	100873916		
HGNC:24475	Approved	DMGDH	dimethylglycine dehydrogenase	29958	AF111858	NM_013391
HGNC:25063	Approved	DMKN	dermokine	93099	BC035311	NM_033317
HGNC:2932	Approved	DMP1	dentin matrix acidic phosphoprotein 1	1758	U34037	NM_001079911
HGNC:2933	Approved	DMPK	DM1 protein kinase	1760	L19268	NM_004409
HGNC:2934	Approved	DMRT1	doublesex and mab-3 related transcription factor 1	1761	AF130728	NM_021951
HGNC:2935	Approved	DMRT2	doublesex and mab-3 related transcription factor 2	10655	AF130729	NM_006557
HGNC:13909	Approved	DMRT3	doublesex and mab-3 related transcription factor 3	58524	AJ301581	NM_021240
HGNC:13826	Approved	DMRTA1	DMRT like family A1	63951	AJ290954	NM_022160
HGNC:13908	Approved	DMRTA2	DMRT like family A2	63950	AJ301580	NM_032110
HGNC:13913	Approved	DMRTB1	DMRT like family B with proline rich C-terminal 1	63948	AJ291671	NM_033067
HGNC:13910	Approved	DMRTC1	DMRT like family C1	63947	AJ291670	NM_033053
HGNC:31686	Approved	DMRTC1B	DMRT like family C1B	728656		NM_001080851
HGNC:13911	Approved	DMRTC2	DMRT like family C2	63946	AJ291669	NM_001040283
HGNC:14603	Approved	DMTF1	cyclin D binding myb like transcription factor 1	9988	AF084530	NM_021145
HGNC:55864	Approved	DMTF1-AS1	DMTF1 antisense RNA 1	101927420		NR_136252
HGNC:3382	Approved	DMTN	dematin actin binding protein	2039	U28389	NM_001978
HGNC:2936	Approved	DMWD	DM1 locus, WD repeat containing	1762	L19267	NM_004943
HGNC:2937	Approved	DMXL1	Dmx like 1	1657	AJ005821	NM_005509
HGNC:55568	Approved	DMXL1-DT	DMXL1 divergent transcript	105379143		NR_134250
HGNC:2938	Approved	DMXL2	Dmx like 2	23312	AB020663	NM_015263
HGNC:2939	Approved	DNA2	DNA replication helicase/nuclease 2	1763	D42046	NM_001080449
HGNC:30539	Approved	DNAAF1	dynein axonemal assembly factor 1	123872	BC024009	NM_178452
HGNC:20188	Approved	DNAAF2	dynein axonemal assembly factor 2	55172	AK001425	NM_001083908
HGNC:30492	Approved	DNAAF3	dynein axonemal assembly factor 3	352909	AK097388	NM_178837
HGNC:55292	Approved	DNAAF3-AS1	DNAAF3 antisense RNA 1	101930593		XR_001754014
HGNC:21493	Approved	DNAAF4	dynein axonemal assembly factor 4	161582		NM_130810
HGNC:43019	Approved	DNAAF4-CCPG1	DNAAF4-CCPG1 readthrough (NMD candidate)	100533483		NR_037923
HGNC:26013	Approved	DNAAF5	dynein axonemal assembly factor 5	54919	AL832914	NM_017802
HGNC:26013	Approved	DNAAF5	dynein axonemal assembly factor 5	54919	AK000404	NM_017802
HGNC:26013	Approved	DNAAF5	dynein axonemal assembly factor 5	54919	AK056233	NM_017802
HGNC:28570	Approved	DNAAF6	dynein axonemal assembly factor 6	139212	AL136112	NM_173494
HGNC:25081	Approved	DNAAF8	dynein axonemal assembly factor 8	146562	AF447587	NM_139170
HGNC:17721	Approved	DNAAF9	dynein axonemal assembly factor 9	25943	AL110249	NM_001009984
HGNC:25176	Approved	DNAAF10	dynein axonemal assembly factor 10	116143	AK056303	NM_138458
HGNC:16725	Approved	DNAAF11	dynein axonemal assembly factor 11	23639	U60666	NM_012472
HGNC:51151	Approved	DNAAF11P1	DNAAF11 pseudogene 1	100420589		NG_024476
HGNC:2940	Approved	DNAH1	dynein axonemal heavy chain 1	25981	U61738	NM_015512
HGNC:2948	Approved	DNAH2	dynein axonemal heavy chain 2	146754	U83570	NM_020877
HGNC:2948	Approved	DNAH2	dynein axonemal heavy chain 2	146754	AK128517	NM_020877
HGNC:2949	Approved	DNAH3	dynein axonemal heavy chain 3	55567	U83574	NM_017539
HGNC:2950	Approved	DNAH5	dynein axonemal heavy chain 5	1767	AJ132090	NM_001369
HGNC:2951	Approved	DNAH6	dynein axonemal heavy chain 6	1768	U61736	NM_001370
HGNC:18661	Approved	DNAH7	dynein axonemal heavy chain 7	56171	AF327442	NM_018897
HGNC:2952	Approved	DNAH8	dynein axonemal heavy chain 8	1769	Z83806	NM_001206927
HGNC:40188	Approved	DNAH8-AS1	DNAH8 antisense RNA 1	100131047		NR_038401
HGNC:55663	Approved	DNAH8-DT	DNAH8 divergent transcript	121832808		XR_007059572
HGNC:2953	Approved	DNAH9	dynein axonemal heavy chain 9	1770	U61740	NM_001372
HGNC:2941	Approved	DNAH10	dynein axonemal heavy chain 10	196385	AJ132089	NM_001372106
HGNC:37121	Approved	DNAH10OS	dynein axonemal heavy chain 10 opposite strand	642797	AK127211	
HGNC:2942	Approved	DNAH11	dynein axonemal heavy chain 11	8701	U83569	NM_003777
HGNC:2943	Approved	DNAH12	dynein axonemal heavy chain 12	201625	U53532	NM_178504
HGNC:2943	Approved	DNAH12	dynein axonemal heavy chain 12	201625	AK126276	NM_178504
HGNC:2944	Entry Withdrawn	DNAH13	dynein axonemal heavy chain 13			
HGNC:2945	Approved	DNAH14	dynein axonemal heavy chain 14	127602	U61741	NM_001373
HGNC:2946	Approved	DNAH17	dynein axonemal heavy chain 17	8632	AJ000522	NM_173628
HGNC:48594	Approved	DNAH17-AS1	DNAH17 antisense RNA 1	100996295		NR_102401
HGNC:2954	Approved	DNAI1	dynein axonemal intermediate chain 1	27019	AF091619	NM_012144
HGNC:18744	Approved	DNAI2	dynein axonemal intermediate chain 2	64446	AF250288	NM_023036
HGNC:30711	Approved	DNAI3	dynein axonemal intermediate chain 3	126820		NM_145172
HGNC:26252	Approved	DNAI4	dynein axonemal intermediate chain 4	79819	BX648840	NM_024763
HGNC:29599	Approved	DNAI7	dynein axonemal intermediate chain 7	55259	AK093102	NM_018272
HGNC:5229	Approved	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	3301	L08069	NM_001314039
HGNC:39337	Approved	DNAJA1P1	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 1	100129308		NG_011453
HGNC:39338	Approved	DNAJA1P2	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 2	100131207		NG_021529
HGNC:39339	Approved	DNAJA1P3	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 3	644588		NG_022628
HGNC:39340	Approved	DNAJA1P4	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 4	728614		NG_022322
HGNC:39341	Approved	DNAJA1P5	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 5	94236		NR_033424
HGNC:39342	Approved	DNAJA1P6	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 6	100421542		NG_027411
HGNC:14884	Approved	DNAJA2	DnaJ heat shock protein family (Hsp40) member A2	10294	AF116720	NM_005880
HGNC:55375	Approved	DNAJA2-DT	DNAJA2 divergent transcript	119545626		
HGNC:11808	Approved	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	9093	AF061749	NM_001135110
HGNC:14885	Approved	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4	55466	AF116663	NM_018602
HGNC:55412	Approved	DNAJA4-DT	DNAJA4 divergent transcript	105370911		XR_001751620
HGNC:5270	Approved	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	3337	D49547	NM_006145
HGNC:24988	Approved	DNAJB1P1	DNAJB1 pseudogene 1	171221		NG_001318
HGNC:56478	Approved	DNAJB1P2	DNAJB1 peudogene 2	127379689		NG_115691
HGNC:5228	Approved	DNAJB2	DnaJ heat shock protein family (Hsp40) member B2	3300		NM_001039550
HGNC:32397	Approved	DNAJB3	DnaJ heat shock protein family (Hsp40) member B3	414061		NM_001001394
HGNC:14886	Approved	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	11080	U40992	NM_001317099
HGNC:14887	Approved	DNAJB5	DnaJ heat shock protein family (Hsp40) member B5	25822	AF088982	NM_001135004
HGNC:49846	Approved	DNAJB5-DT	DNAJB5 divergent transcript	101926900	DA679664	NR_109756
HGNC:50449	Approved	DNAJB5P1	DnaJ heat shock protein family (Hsp40) member B5 pseudogene 1			
HGNC:14888	Approved	DNAJB6	DnaJ heat shock protein family (Hsp40) member B6	10049	AB014888	NM_058246
HGNC:54754	Approved	DNAJB6P1	DNAJB6 pseudogene 1	387820		NG_030172
HGNC:54755	Approved	DNAJB6P2	DNAJB6 pseudogene 2	100289047		
HGNC:54756	Approved	DNAJB6P3	DNAJB6 pseudogene 3	101059990		XR_007088093
HGNC:54757	Approved	DNAJB6P4	DNAJB6 pseudogene 4	100130497		
HGNC:54758	Approved	DNAJB6P5	DNAJB6 pseudogene 5	100129779		NG_021791
HGNC:54759	Approved	DNAJB6P6	DNAJB6 pseudogene 6	107985099		
HGNC:54760	Approved	DNAJB6P7	DNAJB6 pseudogene 7	100421437		NG_025615
HGNC:54761	Approved	DNAJB6P8	DNAJB6 pseudogene 8	100421525		NG_026261
HGNC:24986	Approved	DNAJB7	DnaJ heat shock protein family (Hsp40) member B7	150353	AF085232	NM_145174
HGNC:23699	Approved	DNAJB8	DnaJ heat shock protein family (Hsp40) member B8	165721		NM_153330
HGNC:41029	Approved	DNAJB8-AS1	DNAJB8 antisense RNA 1	285224		NR_037890
HGNC:6968	Approved	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	4189	AB026908	NM_012328
HGNC:14889	Approved	DNAJB11	DnaJ heat shock protein family (Hsp40) member B11	51726	AB028859	NM_001378451
HGNC:14891	Approved	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12	54788	AK000034	NM_001002762
HGNC:54762	Approved	DNAJB12P1	DNAJB12 pseudogene 1	100129140		NG_021503
HGNC:30718	Approved	DNAJB13	DnaJ heat shock protein family (Hsp40) member B13	374407	AF516185	NM_153614
HGNC:25881	Approved	DNAJB14	DnaJ heat shock protein family (Hsp40) member B14	79982	BC022248	NM_001031723.2
HGNC:20090	Approved	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	64215	AK026062	NM_022365
HGNC:13192	Approved	DNAJC2	DnaJ heat shock protein family (Hsp40) member C2	27000	X98260	NM_001129887
HGNC:9439	Approved	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	5611	U28424	NM_006260
HGNC:39808	Approved	DNAJC3-DT	DNAJC3 divergent transcript	100289274		NR_132117
HGNC:5271	Approved	DNAJC4	DnaJ heat shock protein family (Hsp40) member C4	3338	AF012106	NM_001307980
HGNC:16235	Approved	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5	80331		NM_025219
HGNC:24138	Approved	DNAJC5B	DnaJ heat shock protein family (Hsp40) member C5 beta	85479	AF368276	NM_033105
HGNC:24844	Approved	DNAJC5G	DnaJ heat shock protein family (Hsp40) member C5 gamma	285126	AF368277	NM_173650
HGNC:15469	Approved	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	9829	AB007942	NM_001256864
HGNC:12392	Approved	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7	7266	U46571	NM_001144766
HGNC:15470	Approved	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	22826	AF083190	NM_014280
HGNC:19928	Approved	DNAJC8P1	DNAJC8 pseudogene 1	319111		NG_002493
HGNC:56540	Approved	DNAJC8P2	DNAJC8 pseudogene 2	100421438		NG_025630
HGNC:56541	Approved	DNAJC8P3	DNAJC8 pseudogene	100131146		NG_022405
HGNC:56542	Approved	DNAJC8P4	DNAJC8 pseudogene 4	127460879		
HGNC:19123	Approved	DNAJC9	DnaJ heat shock protein family (Hsp40) member C9	23234	AF327347	NM_015190
HGNC:31432	Approved	DNAJC9-AS1	DNAJC9 and MRPS16 antisense RNA 1	414245	BC043233	NR_038373
HGNC:24637	Approved	DNAJC10	DnaJ heat shock protein family (Hsp40) member C10	54431		NM_018981
HGNC:25570	Approved	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11	55735	AF306695	NM_018198
HGNC:28908	Approved	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12	56521	AF176012	NM_021800
HGNC:30343	Approved	DNAJC13	DnaJ heat shock protein family (Hsp40) member C13	23317	AB014578	NM_015268
HGNC:24581	Approved	DNAJC14	DnaJ heat shock protein family (Hsp40) member C14	85406	AF141342	NM_032364
HGNC:20325	Approved	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	29103	AF126743	NM_013238
HGNC:29157	Approved	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16	23341	AB023179	NM_015291
HGNC:25556	Approved	DNAJC17	DnaJ heat shock protein family (Hsp40) member C17	55192	AK001496	NM_018163
HGNC:54782	Approved	DNAJC17P1	DNAJC17 pseudogene 1	645314		NG_021279
HGNC:28429	Approved	DNAJC18	DnaJ heat shock protein family (Hsp40) member C18	202052	AK024054	NM_152686
HGNC:30528	Approved	DNAJC19	DnaJ heat shock protein family (Hsp40) member C19	131118		NM_145261
HGNC:45064	Approved	DNAJC19P1	DnaJ heat shock protein family (Hsp40) member C19 pseudogene 1	100129853		NG_030118
HGNC:45065	Approved	DNAJC19P2	DnaJ heat shock protein family (Hsp40) member C19 pseudogene 2	100861445		NG_032014
HGNC:45066	Approved	DNAJC19P3	DnaJ heat shock protein family (Hsp40) member C19 pseudogene 3	100861443		NG_032013
HGNC:45067	Approved	DNAJC19P4	DnaJ heat shock protein family (Hsp40) member C19 pseudogene 4	106480691		NG_043338
HGNC:45068	Approved	DNAJC19P5	DnaJ heat shock protein family (Hsp40) member C19 pseudogene 5	100861453		NG_032016
HGNC:45069	Approved	DNAJC19P6	DnaJ heat shock protein family (Hsp40) member C19 pseudogene 6	100861449		NG_032015
