gene_id,HGNC ID_x,Status,Approved symbol,Approved name,INSDC (ENA/GenBank/DDBJ) accession,HGNC ID_y,RefSeq accession
NM_001881,,,,,,HGNC:2352,NM_001881
NM_001882,,,,,,HGNC:2356,NM_001882
NM_001883,,,,,,,
NM_001884,,,,,,HGNC:2380,NM_001884
NM_001886,,,,,,HGNC:2396,NM_001886
NM_001887,,,,,,HGNC:2397,NM_001887
NM_001888,,,,,,,
NM_001889,,,,,,,
NM_001890,,,,,,,
NM_001891,,,,,,,
NM_001892,,,,,,HGNC:2451,NM_001892
NM_001894,,,,,,HGNC:2453,NM_001894
NM_001896,,,,,,HGNC:2459,NM_001896
NM_001897,,,,,,HGNC:2466,NM_001897
NM_001897,,,,,,HGNC:2466,NM_001897
NM_001898,,,,,,HGNC:2473,NM_001898
NM_001899,,,,,,HGNC:2476,NM_001899
NM_001900,,,,,,HGNC:2477,NM_001900
NM_001902,,,,,,HGNC:2501,NM_001902
NM_001905,,,,,,HGNC:2519,NM_001905
NM_001909,,,,,,HGNC:2529,NM_001909
NM_001910,,,,,,HGNC:2530,NM_001910
NM_001911,,,,,,HGNC:2532,NM_001911
NM_001912,,,,,,HGNC:2537,NM_001912
NM_001913,,,,,,HGNC:2557,NM_001913
NM_001914,,,,,,HGNC:2570,NM_001914
NM_001915,,,,,,HGNC:2571,NM_001915
NM_001917,,,,,,HGNC:2671,NM_001917
NM_001918,,,,,,HGNC:2698,NM_001918
NM_001920,,,,,,,
NM_001921,,,,,,,
NM_001922,,,,,,,
NM_001924,,,,,,HGNC:4095,NM_001924
NM_001925,,,,,,HGNC:2763,NM_001925
NM_001926,,,,,,HGNC:2765,NM_001926
NM_001927,,,,,,HGNC:2770,NM_001927
NM_001928,,,,,,HGNC:2771,NM_001928
NM_001932,,,,,,HGNC:7221,NM_001932
NM_001934,,,,,,HGNC:2917,NM_001934
NM_001935,,,,,,,
NM_001936,,,,,,,
NM_001937,,,,,,HGNC:3011,NM_001937
NM_001938,,,,,,HGNC:3017,NM_001938
NM_001939,,,,,,HGNC:3032,NM_001939
NM_001941,,,,,,HGNC:3037,NM_001941
NM_001942,,,,,,HGNC:3048,NM_001942
NM_001944,,,,,,HGNC:3050,NM_001944
NM_001945,,,,,,HGNC:3059,NM_001945
NM_001949,,,,,,,
NM_001955,,,,,,HGNC:3176,NM_001955
NM_001956,,,,,,HGNC:3177,NM_001956
NM_001957,,,,,,,
NM_001958,,,,,,HGNC:3192,NM_001958
NM_001959,,,,,,,
NM_001961,,,,,,HGNC:3214,NM_001961
NM_001962,,,,,,HGNC:3225,NM_001962
NM_001963,,,,,,,
NM_001964,,,,,,HGNC:3238,NM_001964
NM_001966,,,,,,,
NM_001968,,,,,,HGNC:3287,NM_001968
NM_001969,,,,,,HGNC:3299,NM_001969
NM_001972,,,,,,HGNC:3309,NM_001972
NM_001973,,,,,,,
NM_001974,,,,,,,
NM_001975,,,,,,HGNC:3353,NM_001975
NM_001976,,,,,,,
NM_001977,,,,,,,
NM_001978,,,,,,HGNC:3382,NM_001978
NM_001980,,,,,,,
NM_001981,,,,,,HGNC:3419,NM_001981
NM_001982,,,,,,HGNC:3431,NM_001982
NM_001985,,,,,,,
NM_001987,,,,,,HGNC:3495,NM_001987
NM_001988,,,,,,HGNC:3503,NM_001988
NM_001989,,,,,,,
NM_001990,,,,,,HGNC:3521,NM_001990
NM_001992,,,,,,HGNC:3537,NM_001992
NM_001993,,,,,,HGNC:3541,NM_001993
NM_001994,,,,,,HGNC:3534,NM_001994
NM_001995,,,,,,HGNC:3569,NM_001995
NM_001996,,,,,,,
NM_001997,,,,,,HGNC:3597,NM_001997
NM_001998,,,,,,,
NM_001999,,,,,,HGNC:3604,NM_001999
NM_002000,,,,,,HGNC:3608,NM_002000
NM_002003,,,,,,HGNC:3623,NM_002003
NM_002005,,,,,,HGNC:3657,NM_002005
NM_002010,,,,,,HGNC:3687,NM_002010
NM_002011,,,,,,,
NM_002012,,,,,,HGNC:3701,NM_002012
NM_002017,,,,,,HGNC:3749,NM_002017
NM_002019,,,,,,HGNC:3763,NM_002019
NM_002021,,,,,,HGNC:3769,NM_002021
NM_002022,,,,,,HGNC:3772,NM_002022
NM_002023,,,,,,HGNC:3774,NM_002023
NM_002025,,,,,,HGNC:3776,NM_002025
NM_002029,,,,,,HGNC:3826,NM_002029
NM_002030,,,,,,HGNC:3828,NM_002030
NM_002031,,,,,,HGNC:3955,NM_002031
NM_002035,,,,,,HGNC:4021,NM_002035
NM_002036,,,,,,HGNC:4035,NM_002036
NM_002041,,,,,,,
NM_002042,,,,,,,
NM_002043,,,,,,HGNC:4091,NM_002043
NM_002045,,,,,,HGNC:4140,NM_002045
NM_002048,,,,,,HGNC:4165,NM_002048
NM_002054,,,,,,HGNC:4191,NM_002054
NM_002055,,,,,,HGNC:4235,NM_002055
NM_002056,,,,,,,
NM_002060,,,,,,HGNC:4278,NM_002060
NM_002061,,,,,,HGNC:4312,NM_002061
NM_002062,,,,,,HGNC:4324,NM_002062
NM_002063,,,,,,,
NM_002064,,,,,,HGNC:4330,NM_002064
NM_002066,,,,,,HGNC:4375,NM_002066
NM_002068,,,,,,HGNC:4383,NM_002068
NM_002070,,,,,,HGNC:4385,NM_002070
NM_002073,,,,,,HGNC:4395,NM_002073
NM_002074,,,,,,HGNC:4396,NM_002074
NM_002075,,,,,,HGNC:4400,NM_002075
NM_002076,,,,,,HGNC:4422,NM_002076
NM_002077,,,,,,HGNC:4424,NM_002077
NM_002080,,,,,,HGNC:4433,NM_002080
NM_002081,,,,,,HGNC:4449,NM_002081
NM_002082,,,,,,HGNC:4545,NM_002082
NM_002083,,,,,,HGNC:4554,NM_002083
NM_002084,,,,,,,
NM_002085,,,,,,HGNC:4556,NM_002085
NM_002085,,,,,,HGNC:4556,NM_002085
NM_002087,,,,,,HGNC:4601,NM_002087
NM_002090,,,,,,HGNC:4604,NM_002090
NM_002091,,,,,,HGNC:4605,NM_002091
NM_002092,,,,,,HGNC:4610,NM_002092
NM_002094,,,,,,HGNC:4621,NM_002094
NM_002095,,,,,,HGNC:4651,NM_002095
NM_002096,,,,,,HGNC:4652,NM_002096
NM_002098,,,,,,HGNC:4679,NM_002098
NM_002099,,,,,,HGNC:4702,NM_002099
NM_002100,,,,,,HGNC:4703,NM_002100
NM_002101,,,,,,HGNC:4704,NM_002101
NM_002102,,,,,,HGNC:4705,NM_002102
NM_002103,,,,,,HGNC:4706,NM_002103
NM_002104,,,,,,HGNC:4711,NM_002104
NM_002105,,,,,,HGNC:4739,NM_002105
NM_002106,,,,,,HGNC:4741,NM_002106
NM_002108,,,,,,,
NM_002109,,,,,,HGNC:4816,NM_002109
NM_002110,,,,,,,
NM_002111,,,,,,HGNC:4851,NM_002111
NM_002112,,,,,,,
NM_002114,,,,,,HGNC:4920,NM_002114
NM_002115,,,,,,HGNC:4925,NM_002115
NM_002130,,,,,,,
NM_002133,,,,,,HGNC:5013,NM_002133
NM_002135,,,,,,,
NM_002137,,,,,,HGNC:5033,NM_002137
NM_002138,,,,,,,
NM_002141,,,,,,HGNC:5105,NM_002141
NM_002144,,,,,,HGNC:5111,NM_002144
NM_002145,,,,,,HGNC:5113,NM_002145
NM_002146,,,,,,,
NM_002147,,,,,,HGNC:5116,NM_002147
NM_002148,,,,,,HGNC:5133,NM_002148
NM_002149,,,,,,HGNC:5145,NM_002149
NM_002150,,,,,,HGNC:5147,NM_002150
NM_002151,,,,,,HGNC:5155,NM_002151
NM_002152,,,,,,HGNC:5178,NM_002152
NM_002153,,,,,,HGNC:5211,NM_002153
NM_002157,,,,,,HGNC:5269,NM_002157
NM_002158,,,,,,HGNC:5281,NM_002158
NM_002160,,,,,,HGNC:5318,NM_002160
NM_002162,,,,,,,
NM_002167,,,,,,HGNC:5362,NM_002167
NM_002170,,,,,,HGNC:5429,NM_002170
NM_002176,,,,,,HGNC:5434,NM_002176
NM_002177,,,,,,HGNC:5448,NM_002177
NM_002182,,,,,,,
NM_002184,,,,,,HGNC:6021,NM_002184
NM_002185,,,,,,HGNC:6024,NM_002185
NM_002187,,,,,,HGNC:5970,NM_002187
NM_002188,,,,,,HGNC:5973,NM_002188
NM_002189,,,,,,HGNC:5978,NM_002189
NM_002190,,,,,,HGNC:5981,NM_002190
NM_002192,,,,,,HGNC:6066,NM_002192
NM_002193,,,,,,HGNC:6067,NM_002193
NM_002194,,,,,,,
NM_002195,,,,,,HGNC:6087,NM_002195
NM_002196,,,,,,HGNC:6090,NM_002196
NM_002197,,,,,,HGNC:117,NM_002197
NM_002198,,,,,,HGNC:6116,NM_002198
NM_002199,,,,,,HGNC:6117,NM_002199
NM_002201,,,,,,HGNC:6130,NM_002201
NM_002202,,,,,,HGNC:6132,NM_002202
NM_002203,,,,,,HGNC:6137,NM_002203
NM_002204,,,,,,,
NM_002205,,,,,,HGNC:6141,NM_002205
NM_002207,,,,,,HGNC:6145,NM_002207
NM_002208,,,,,,HGNC:6147,NM_002208
NM_002213,,,,,,HGNC:6160,NM_002213
NM_002214,,,,,,HGNC:6163,NM_002214
NM_002216,,,,,,HGNC:6167,NM_002216
NM_002217,,,,,,HGNC:6168,NM_002217
NM_002218,,,,,,HGNC:6169,NM_002218
NM_002220,,,,,,HGNC:6178,NM_002220
NM_002221,,,,,,HGNC:6179,NM_002221
NM_002222,,,,,,HGNC:6180,NM_002222
NM_002223,,,,,,HGNC:6181,NM_002223
NM_002224,,,,,,HGNC:6182,NM_002224
NM_002225,,,,,,,
NM_002228,,,,,,HGNC:6204,NM_002228
NM_002229,,,,,,HGNC:6205,NM_002229
NM_002231,,,,,,HGNC:6210,NM_002231
NM_002232,,,,,,HGNC:6221,NM_002232
NM_002233,,,,,,HGNC:6222,NM_002233
NM_002234,,,,,,HGNC:6224,NM_002234
NM_002238,,,,,,HGNC:6250,NM_002238
NM_002239,,,,,,HGNC:6264,NM_002239
NM_002241,,,,,,HGNC:6256,NM_002241
NM_002245,,,,,,HGNC:6272,NM_002245
NM_002246,,,,,,HGNC:6278,NM_002246
NM_002248,,,,,,HGNC:6290,NM_002248
NM_002249,,,,,,HGNC:6292,NM_002249
NM_002250,,,,,,HGNC:6293,NM_002250
NM_002251,,,,,,HGNC:6300,NM_002251
NM_002252,,,,,,HGNC:6302,NM_002252
NM_002253,,,,,,HGNC:6307,NM_002253
NM_002254,,,,,,HGNC:6321,NM_002254
NM_002256,,,,,,HGNC:6341,NM_002256
NM_002258,,,,,,HGNC:6373,NM_002258
NM_002260,,,,,,HGNC:6375,NM_002260
NM_002261,,,,,,HGNC:6376,NM_002261
NM_002264,,,,,,HGNC:6394,NM_002264
NM_002269,,,,,,HGNC:6398,NM_002269
NM_002270,,,,,,HGNC:6401,NM_002270
NM_002271,,,,,,HGNC:6402,NM_002271
NM_002274,,,,,,,
NM_002275,,,,,,HGNC:6421,NM_002275
NM_002277,,,,,,HGNC:6448,NM_002277
NM_002278,,,,,,HGNC:6449,NM_002278
NM_002279,,,,,,HGNC:6451,NM_002279
NM_002285,,,,,,HGNC:6473,NM_002285
NM_002286,,,,,,HGNC:6476,NM_002286
NM_002288,,,,,,HGNC:6478,NM_002288
NM_002289,,,,,,HGNC:6480,NM_002289
NM_002290,,,,,,,
NM_002291,,,,,,HGNC:6486,NM_002291
NM_002293,,,,,,HGNC:6492,NM_002293
NM_002294,,,,,,,
NM_002299,,,,,,HGNC:6530,NM_002299
NM_002301,,,,,,,
NM_002302,,,,,,HGNC:6550,NM_002302
NM_002303,,,,,,HGNC:6554,NM_002303
NM_002305,,,,,,HGNC:6561,NM_002305
NM_002310,,,,,,HGNC:6597,NM_002310
NM_002311,,,,,,,
NM_002312,,,,,,HGNC:6601,NM_002312
NM_002314,,,,,,HGNC:6613,NM_002314
NM_002315,,,,,,HGNC:6641,NM_002315
NM_002316,,,,,,,
NM_002317,,,,,,,
NM_002318,,,,,,HGNC:6666,NM_002318
NM_002319,,,,,,HGNC:6691,NM_002319
NM_002332,,,,,,HGNC:6692,NM_002332
NM_002333,,,,,,HGNC:6695,NM_002333
NM_002336,,,,,,HGNC:6698,NM_002336
NM_002337,,,,,,HGNC:6701,NM_002337
NM_002338,,,,,,HGNC:6705,NM_002338
NM_002342,,,,,,,
NM_002343,,,,,,HGNC:6720,NM_002343
NM_002344,,,,,,,
NM_002345,,,,,,HGNC:6724,NM_002345
NM_002346,,,,,,,
NM_002347,,,,,,,
NM_002350,,,,,,HGNC:6735,NM_002350
NM_002355,,,,,,,
NM_002356,,,,,,HGNC:6759,NM_002356
NM_002357,,,,,,HGNC:6761,NM_002357
NM_002358,,,,,,HGNC:6763,NM_002358
NM_002363,,,,,,HGNC:6808,NM_002363
NM_002364,,,,,,HGNC:6809,NM_002364
NM_002365,,,,,,HGNC:6810,NM_002365
NM_002371,,,,,,HGNC:6817,NM_002371
NM_002372,,,,,,HGNC:6824,NM_002372
NM_002375,,,,,,HGNC:6862,NM_002375
NM_002376,,,,,,,
NM_002377,,,,,,HGNC:6899,NM_002377
NM_002378,,,,,,,
NM_002380,,,,,,,
NM_002381,,,,,,HGNC:6909,NM_002381
NM_002382,,,,,,,
NM_002383,,,,,,HGNC:6914,NM_002383
NM_002385,,,,,,,
NM_002387,,,,,,,
NM_002388,,,,,,,
NM_002389,,,,,,,
NM_002390,,,,,,HGNC:189,NM_002390
NM_002392,,,,,,HGNC:6973,NM_002392
NM_002393,,,,,,HGNC:6974,NM_002393
NM_002394,,,,,,,
NM_002395,,,,,,HGNC:6983,NM_002395
NM_002397,,,,,,HGNC:6996,NM_002397
NM_002398,,,,,,HGNC:7000,NM_002398
NM_002402,,,,,,HGNC:7028,NM_002402
NM_002405,,,,,,HGNC:7038,NM_002405
NM_002406,,,,,,,
NM_002407,,,,,,HGNC:7051,NM_002407
NM_002409,,,,,,HGNC:7046,NM_002409
NM_002410,,,,,,HGNC:7049,NM_002410
NM_002411,,,,,,HGNC:7050,NM_002411
NM_002412,,,,,,HGNC:7059,NM_002412
NM_002413,,,,,,HGNC:7063,NM_002413
NM_002416,,,,,,HGNC:7098,NM_002416
NM_002418,,,,,,,
NM_002419,,,,,,HGNC:6850,NM_002419
NM_002420,,,,,,HGNC:7146,NM_002420
NM_002421,,,,,,HGNC:7155,NM_002421
NM_002422,,,,,,HGNC:7173,NM_002422
NM_002423,,,,,,HGNC:7174,NM_002423
NM_002424,,,,,,HGNC:7175,NM_002424
NM_002425,,,,,,HGNC:7156,NM_002425
NM_002426,,,,,,HGNC:7158,NM_002426
NM_002427,,,,,,HGNC:7159,NM_002427
NM_002428,,,,,,HGNC:7161,NM_002428
NM_002430,,,,,,HGNC:7180,NM_002430
NM_002431,,,,,,HGNC:7181,NM_002431
NM_002432,,,,,,HGNC:7183,NM_002432
NM_002434,,,,,,,
NM_002435,,,,,,,
NM_002436,,,,,,HGNC:7219,NM_002436
NM_002437,,,,,,HGNC:7224,NM_002437
NM_002442,,,,,,HGNC:7330,NM_002442
NM_002443,,,,,,HGNC:7372,NM_002443
NM_002444,,,,,,HGNC:7373,NM_002444
NM_002446,,,,,,HGNC:6849,NM_002446
NM_002447,,,,,,,
NM_002448,,,,,,HGNC:7391,NM_002448
NM_002449,,,,,,,
NM_002451,,,,,,HGNC:7413,NM_002451
NM_002452,,,,,,HGNC:8048,NM_002452
NM_002453,,,,,,HGNC:7441,NM_002453
NM_002456,,,,,,HGNC:7508,NM_002456
NM_002457,,,,,,HGNC:7512,NM_002457
NM_002460,,,,,,,
NM_002462,,,,,,,
NM_002463,,,,,,HGNC:7533,NM_002463
NM_002466,,,,,,HGNC:7548,NM_002466
NM_002467,,,,,,,
NM_002469,,,,,,HGNC:7566,NM_002469
NM_002470,,,,,,HGNC:7573,NM_002470
NM_002472,,,,,,HGNC:7578,NM_002472
NM_002475,,,,,,HGNC:29823,NM_002475
NM_002478,,,,,,HGNC:7611,NM_002478
NM_002479,,,,,,HGNC:7612,NM_002479
NM_002480,,,,,,HGNC:7618,NM_002480
NM_002481,,,,,,,
NM_002484,,,,,,HGNC:8041,NM_002484
NM_002485,,,,,,,
NM_002489,,,,,,HGNC:7687,NM_002489
NM_002490,,,,,,HGNC:7690,NM_002490
NM_002491,,,,,,HGNC:7698,NM_002491
NM_002492,,,,,,HGNC:7700,NM_002492
NM_002493,,,,,,HGNC:7701,NM_002493
NM_002494,,,,,,HGNC:7705,NM_002494
NM_002497,,,,,,HGNC:7745,NM_002497
NM_002499,,,,,,HGNC:7754,NM_002499
NM_002502,,,,,,,
NM_002503,,,,,,HGNC:7798,NM_002503
NM_002504,,,,,,,
NM_002505,,,,,,HGNC:7804,NM_002505
NM_002506,,,,,,HGNC:7808,NM_002506
NM_002507,,,,,,HGNC:7809,NM_002507
NM_002508,,,,,,HGNC:7821,NM_002508
NM_002509,,,,,,HGNC:7835,NM_002509
NM_002510,,,,,,,
NM_002511,,,,,,,
NM_002512,,,,,,HGNC:7850,NM_002512
NM_002513,,,,,,HGNC:7851,NM_002513
NM_002514,,,,,,HGNC:7885,NM_002514
NM_002515,,,,,,,
NM_002516,,,,,,HGNC:7887,NM_002516
NM_002517,,,,,,HGNC:7894,NM_002517
NM_002521,,,,,,HGNC:7940,NM_002521
NM_002522,,,,,,HGNC:7952,NM_002522
NM_002526,,,,,,,
NM_002527,,,,,,,
NM_002530,,,,,,,
NM_002531,,,,,,HGNC:8039,NM_002531
NM_002532,,,,,,HGNC:8067,NM_002532
NM_002533,,,,,,HGNC:8070,NM_002533
NM_002534,,,,,,,
NM_002535,,,,,,,
NM_002537,,,,,,HGNC:8096,NM_002537
NM_002539,,,,,,,
NM_002541,,,,,,,
NM_002544,,,,,,HGNC:8135,NM_002544
NM_002545,,,,,,,
NM_002546,,,,,,HGNC:11909,NM_002546
NM_002547,,,,,,HGNC:8148,NM_002547
NM_002550,,,,,,HGNC:8282,NM_002550
NM_002551,,,,,,HGNC:8283,NM_002551
NM_002552,,,,,,,
NM_002553,,,,,,HGNC:8491,NM_002553
NM_002557,,,,,,HGNC:8524,NM_002557
NM_002559,,,,,,HGNC:8534,NM_002559
NM_002560,,,,,,,
NM_002562,,,,,,HGNC:8537,NM_002562
NM_002563,,,,,,HGNC:8539,NM_002563
NM_002564,,,,,,,
NM_002565,,,,,,HGNC:8542,NM_002565
NM_002566,,,,,,HGNC:8540,NM_002566
NM_002567,,,,,,HGNC:8630,NM_002567
NM_002569,,,,,,HGNC:8568,NM_002569
NM_002570,,,,,,HGNC:8569,NM_002570
NM_002571,,,,,,,
NM_002575,,,,,,HGNC:8584,NM_002575
NM_002579,,,,,,HGNC:8594,NM_002579
NM_002580,,,,,,HGNC:8601,NM_002580
NM_002582,,,,,,HGNC:8609,NM_002582
NM_002583,,,,,,HGNC:8614,NM_002583
NM_002584,,,,,,HGNC:8621,NM_002584
NM_002585,,,,,,HGNC:8632,NM_002585
NM_002587,,,,,,,
NM_002588,,,,,,HGNC:8716,NM_002588
NM_002590,,,,,,HGNC:8660,NM_002590
NM_002591,,,,,,HGNC:8724,NM_002591
NM_002592,,,,,,HGNC:8729,NM_002592
NM_002593,,,,,,HGNC:8738,NM_002593
NM_002594,,,,,,HGNC:8744,NM_002594
NM_002595,,,,,,HGNC:8750,NM_002595
NM_002598,,,,,,HGNC:8762,NM_002598
NM_002599,,,,,,HGNC:8777,NM_002599
NM_002600,,,,,,HGNC:8781,NM_002600
NM_002601,,,,,,,
NM_002606,,,,,,,
NM_002608,,,,,,HGNC:8800,NM_002608
NM_002610,,,,,,HGNC:8809,NM_002610
NM_002612,,,,,,HGNC:8812,NM_002612
NM_002614,,,,,,HGNC:8821,NM_002614
NM_002615,,,,,,HGNC:8824,NM_002615
NM_002616,,,,,,HGNC:8845,NM_002616
NM_002618,,,,,,HGNC:8855,NM_002618
NM_002619,,,,,,,
NM_002620,,,,,,HGNC:8862,NM_002620
NM_002621,,,,,,HGNC:8864,NM_002621
NM_002622,,,,,,HGNC:8866,NM_002622
NM_002623,,,,,,HGNC:8868,NM_002623
NM_002624,,,,,,HGNC:8869,NM_002624
NM_002625,,,,,,,
NM_002626,,,,,,,
NM_002627,,,,,,HGNC:8878,NM_002627
NM_002628,,,,,,HGNC:8882,NM_002628
NM_002631,,,,,,HGNC:8891,NM_002631
NM_002633,,,,,,HGNC:8905,NM_002633
NM_002634,,,,,,HGNC:8912,NM_002634
NM_002635,,,,,,,
NM_002637,,,,,,,
NM_002638,,,,,,HGNC:8947,NM_002638
NM_002639,,,,,,HGNC:8949,NM_002639
NM_002640,,,,,,,
NM_002641,,,,,,HGNC:8957,NM_002641
NM_002642,,,,,,,
NM_002644,,,,,,HGNC:8968,NM_002644
NM_002646,,,,,,HGNC:8972,NM_002646
NM_002647,,,,,,HGNC:8974,NM_002647
NM_002649,,,,,,,
NM_002653,,,,,,HGNC:9004,NM_002653
NM_002654,,,,,,,
NM_002655,,,,,,HGNC:9045,NM_002655
NM_002656,,,,,,,
NM_002657,,,,,,HGNC:9047,NM_002657
NM_002662,,,,,,HGNC:9067,NM_002662
NM_002664,,,,,,HGNC:9070,NM_002664
NM_002666,,,,,,HGNC:9076,NM_002666
NM_002668,,,,,,HGNC:9087,NM_002668
NM_002670,,,,,,HGNC:9090,NM_002670
NM_002675,,,,,,HGNC:9113,NM_002675
NM_002676,,,,,,HGNC:9114,NM_002676
NM_002677,,,,,,HGNC:9117,NM_002677
NM_002685,,,,,,,
NM_002686,,,,,,HGNC:9160,NM_002686
NM_002689,,,,,,HGNC:30073,NM_002689
NM_002690,,,,,,HGNC:9174,NM_002690
NM_002691,,,,,,,
NM_002692,,,,,,HGNC:9178,NM_002692
NM_002695,,,,,,HGNC:9192,NM_002695
NM_002696,,,,,,HGNC:9194,NM_002696
NM_002697,,,,,,HGNC:9212,NM_002697
NM_002699,,,,,,HGNC:9214,NM_002699
NM_002700,,,,,,HGNC:9220,NM_002700
NM_002702,,,,,,HGNC:9224,NM_002702
NM_002705,,,,,,HGNC:9273,NM_002705
NM_002708,,,,,,HGNC:9281,NM_002708
NM_002710,,,,,,,
NM_002711,,,,,,HGNC:9291,NM_002711
NM_002712,,,,,,HGNC:9295,NM_002712
NM_002713,,,,,,,
NM_002716,,,,,,HGNC:9303,NM_002716
NM_002717,,,,,,HGNC:9304,NM_002717
NM_002718,,,,,,HGNC:9307,NM_002718
NM_002719,,,,,,HGNC:9311,NM_002719
NM_002721,,,,,,,
NM_002725,,,,,,HGNC:9357,NM_002725
NM_002726,,,,,,HGNC:9358,NM_002726
NM_002727,,,,,,HGNC:9361,NM_002727
NM_002730,,,,,,HGNC:9380,NM_002730
NM_002731,,,,,,,
NM_002732,,,,,,HGNC:9382,NM_002732
NM_002733,,,,,,HGNC:9385,NM_002733
NM_002736,,,,,,HGNC:9392,NM_002736
NM_002737,,,,,,HGNC:9393,NM_002737
NM_002738,,,,,,,
NM_002739,,,,,,HGNC:9402,NM_002739
NM_002741,,,,,,HGNC:9405,NM_002741
NM_002742,,,,,,HGNC:9407,NM_002742
NM_002743,,,,,,,
NM_002744,,,,,,HGNC:9412,NM_002744
NM_002745,,,,,,HGNC:6871,NM_002745
NM_002747,,,,,,HGNC:6878,NM_002747
NM_002748,,,,,,HGNC:6879,NM_002748
NM_002749,,,,,,,
NM_002751,,,,,,HGNC:6873,NM_002751
NM_002753,,,,,,,
NM_002756,,,,,,,
NM_002757,,,,,,,
NM_002758,,,,,,HGNC:6846,NM_002758
NM_002759,,,,,,HGNC:9437,NM_002759
NM_002761,,,,,,HGNC:9447,NM_002761
NM_002765,,,,,,HGNC:9465,NM_002765
NM_002766,,,,,,HGNC:9466,NM_002766
NM_002767,,,,,,HGNC:9467,NM_002767
NM_002768,,,,,,HGNC:8740,NM_002768
NM_002772,,,,,,HGNC:9490,NM_002772
NM_002773,,,,,,HGNC:9491,NM_002773
NM_002774,,,,,,HGNC:6367,NM_002774
NM_002775,,,,,,HGNC:9476,NM_002775
NM_002777,,,,,,HGNC:9495,NM_002777
NM_002779,,,,,,,
NM_002786,,,,,,HGNC:9530,NM_002786
NM_002787,,,,,,HGNC:9531,NM_002787
NM_002788,,,,,,HGNC:9532,NM_002788
NM_002789,,,,,,HGNC:9533,NM_002789
NM_002790,,,,,,HGNC:9534,NM_002790
NM_002792,,,,,,HGNC:9536,NM_002792
NM_002793,,,,,,HGNC:9537,NM_002793
NM_002794,,,,,,HGNC:9539,NM_002794
NM_002795,,,,,,HGNC:9540,NM_002795
NM_002799,,,,,,HGNC:9544,NM_002799
NM_002803,,,,,,HGNC:9548,NM_002803
NM_002807,,,,,,,
NM_002808,,,,,,HGNC:9559,NM_002808
NM_002809,,,,,,HGNC:9560,NM_002809
NM_002811,,,,,,HGNC:9565,NM_002811
NM_002812,,,,,,HGNC:9566,NM_002812
NM_002813,,,,,,HGNC:9567,NM_002813
NM_002814,,,,,,,
NM_002816,,,,,,HGNC:9557,NM_002816
NM_002818,,,,,,HGNC:9569,NM_002818
NM_002819,,,,,,HGNC:9583,NM_002819
NM_002820,,,,,,,
NM_002821,,,,,,HGNC:9618,NM_002821
NM_002824,,,,,,,
NM_002825,,,,,,HGNC:9630,NM_002825
NM_002826,,,,,,HGNC:9756,NM_002826
NM_002827,,,,,,,
NM_002828,,,,,,HGNC:9650,NM_002828
NM_002829,,,,,,,
NM_002830,,,,,,HGNC:9656,NM_002830
NM_002831,,,,,,HGNC:9658,NM_002831
NM_002832,,,,,,HGNC:9659,NM_002832
NM_002833,,,,,,HGNC:9661,NM_002833
NM_002834,,,,,,,
NM_002835,,,,,,,
NM_002837,,,,,,,
NM_002838,,,,,,HGNC:9666,NM_002838
NM_002839,,,,,,,
NM_002840,,,,,,,
NM_002841,,,,,,HGNC:9671,NM_002841
NM_002842,,,,,,,
NM_002844,,,,,,,
NM_002845,,,,,,,
NM_002846,,,,,,,
NM_002847,,,,,,,
NM_002848,,,,,,HGNC:9678,NM_002848
NM_002849,,,,,,HGNC:9680,NM_002849
NM_002851,,,,,,HGNC:9685,NM_002851
NM_002852,,,,,,HGNC:9692,NM_002852
NM_002854,,,,,,HGNC:9704,NM_002854
NM_002855,,,,,,HGNC:9706,NM_002855
NM_002856,,,,,,HGNC:9707,NM_002856
NM_002858,,,,,,HGNC:67,NM_002858
NM_002860,,,,,,HGNC:9722,NM_002860
NM_002862,,,,,,HGNC:9723,NM_002862
NM_002863,,,,,,HGNC:9725,NM_002863
NM_002864,,,,,,HGNC:9750,NM_002864
NM_002864,,,,,,HGNC:9750,NM_002864
NM_002864,,,,,,HGNC:9750,NM_002864
NM_002867,,,,,,HGNC:9778,NM_002867
NM_002871,,,,,,HGNC:9797,NM_002871
NM_002872,,,,,,HGNC:9802,NM_002872
NM_002874,,,,,,HGNC:9813,NM_002874
NM_002875,,,,,,HGNC:9817,NM_002875
NM_002876,,,,,,,
NM_002881,,,,,,HGNC:9840,NM_002881
NM_002882,,,,,,HGNC:9847,NM_002882
NM_002884,,,,,,HGNC:9855,NM_002884
NM_002885,,,,,,HGNC:9858,NM_002885
NM_002887,,,,,,HGNC:9870,NM_002887
NM_002890,,,,,,HGNC:9871,NM_002890
NM_002892,,,,,,,
NM_002893,,,,,,HGNC:9890,NM_002893
NM_002894,,,,,,,
NM_002898,,,,,,HGNC:9909,NM_002898
NM_002899,,,,,,HGNC:9919,NM_002899
NM_002902,,,,,,HGNC:9935,NM_002902
NM_002903,,,,,,HGNC:9937,NM_002903
NM_002906,,,,,,HGNC:9944,NM_002906
NM_002910,,,,,,HGNC:9959,NM_002910
NM_002912,,,,,,HGNC:9968,NM_002912
NM_002914,,,,,,,
NM_002915,,,,,,HGNC:9971,NM_002915
NM_002916,,,,,,HGNC:9972,NM_002916
NM_002918,,,,,,HGNC:9982,NM_002918
NM_002919,,,,,,HGNC:9984,NM_002919
